PC,    I,     INSTRUCTION,  x,   kk,    regVx
24d,    4a8,     f007,        0,  7,   0
251,    4a8,     3000,        0,  0,   0
387,    4a8,     2387,        3,  87,   0
389,    4a8,     6a00,        a,  0,   0
38b,    4a8,     8de0,        d,  e0,   0
38d,    4a8,     6b04,        b,  4,   4
38f,    4a8,     e9a1,        9,  a1,   5
257,    4a8,     1257,        2,  57,   8
259,    4a8,     6600,        6,  0,   0
25b,    4a8,     681c,        8,  1c,   1c
25d,    4a8,     6900,        9,  0,   0
25f,    4a8,     6a04,        a,  4,   4
261,    4a8,     6b0a,        b,  a,   a
263,    4a8,     6c04,        c,  4,   4
265,    4a8,     6d3c,        d,  3c,   3c
267,    4a8,     6e0f,        e,  f,   f
26b,    4a8,     e0,        0,  e0,   0
347,    4a8,     2347,        3,  47,   0
349,    3b7,     a3b7,        3,  b7,   0
34b,    3b7,     f91e,        9,  1e,   0
34d,    3b7,     6108,        1,  8,   8
35f,    3b7,     235f,        3,  5f,   0
361,    3b7,     80e0,        0,  e0,   f
363,    3b7,     8012,        0,  12,   8
365,    3b7,     3000,        0,  0,   8
367,    3b7,     dbc6,        b,  c6,   a
369,    3b7,     7b0c,        b,  c,   16
34f,    3b7,     ee,        0,  ee,   8
351,    3b7,     8106,        1,  6,   4
35f,    3b7,     235f,        3,  5f,   0
361,    3b7,     80e0,        0,  e0,   f
363,    3b7,     8012,        0,  12,   4
365,    3b7,     3000,        0,  0,   4
367,    3b7,     dbc6,        b,  c6,   16
369,    3b7,     7b0c,        b,  c,   22
353,    3b7,     ee,        0,  ee,   4
355,    3b7,     8106,        1,  6,   2
35f,    3b7,     235f,        3,  5f,   0
361,    3b7,     80e0,        0,  e0,   f
363,    3b7,     8012,        0,  12,   2
365,    3b7,     3000,        0,  0,   2
367,    3b7,     dbc6,        b,  c6,   22
369,    3b7,     7b0c,        b,  c,   2e
357,    3b7,     ee,        0,  ee,   2
359,    3b7,     8106,        1,  6,   1
35f,    3b7,     235f,        3,  5f,   0
361,    3b7,     80e0,        0,  e0,   f
363,    3b7,     8012,        0,  12,   1
365,    3b7,     3000,        0,  0,   1
367,    3b7,     dbc6,        b,  c6,   2e
